Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Čeljabinsk [Chelyabinsk],Челябинская область,Province (Oblast),3603339,3476217,3497274
Agapovskij Rajon [Agapovsky Raion],Агаповский район,District,37816,34779,33386
Argajašskij Rajon [Argayashsky Raion],Аргаяшский район,District,42808,41387,40735
Ašinskij Rajon [Ashinsky Raion],Ашинский район,District,70971,64779,61144
Bredinskij Rajon [Bredinsky Raion],Брединский район,District,33039,28498,26329
Čebarkul' [Chebarkul],г. Чебаркуль,City,47144,42844,40739
Čebarkul'skij Rajon [Chebarkulsky Raion],Чебаркульский район,District,29251,29606,29850
Čeljabinsk [Chelyabinsk],г. Челябинск,City,1104648,1130132,1183387
Česmenskij Rajon [Chesmensky Raion],Чесменский район,District,20459,20185,19202
Jemanželinskij Rajon [Yemanzhelinsky Raion],Еманжелинский район,District,...,53004,51948
Jetkul'skij Rajon [Yetkulsky Raion],Еткульский район,District,30165,30697,30667
Južnoural'sk [Yuzhnouralsk],Южноуральский городской округ,City with Environs,39503,38030,37823
Karabaš [Karabash],Карабашский городской округ,City with Environs,16306,13424,11817
Kartalinskij Rajon [Kartalinsky Raion],Карталинский район,District,51869,49387,47574
Kaslinskij Rajon [Kaslinsky Raion],Каслинский район,District,41363,34712,33495
Katav-Ivanovskij Rajon [Katav-Ivanovsky Raion],Катав-Ивановский район,District,38112,33111,31296
Kizil'skij Rajon [Kizilsky Raion],Кизильский район,District,27679,25876,23747
Kopejsk [Kopeysk],Копейский городской округ,City with Environs,143050,139756,146709
Korkinskij Rajon [Korkinsky Raion],Коркинский район,District,...,63863,60910
Krasnoarmejskij Rajon [Krasnoarmeysky Raion],Красноармейский район,District,43553,41710,42094
Kunašakskij Rajon [Kunashaksky Raion],Кунашакский район,District,32225,30112,30034
Kusinskij Rajon [Kusinsky Raion],Кусинский район,District,32738,29392,27911
Kyštym [Kyshtym],Кыштымский городской округ,City with Environs,53444,41791,40720
Lokomotivnyj [Lokomotivny],пгт. Локомотивный,Urban Settlement,10741,8498,8522
Magnitogorsk,г. Магнитогорск,City,419397,407775,417039
Miass,Миасский городской округ,City with Environs,172115,166452,167160
Nagajbakskij Rajon [Nagaybaksky Raion],Нагайбакский район,District,24310,20927,19211
Njazepetrovskij Rajon [Nyazepetrovsky Raion],Нязепетровский район,District,21527,18261,17262
Oktjabr'skij Rajon [Oktyabrsky Raion],Октябрьский район,District,28245,21097,19937
Ozërsk [Ozyorsk],Озерский городской округ,City with Environs,91760,93044,90567
Plastovskij Rajon [Plastovsky Raion],Пластовский район,District,...,26000,25853
Satkinskij Rajon [Satkinsky Raion],Саткинский район,District,92184,86176,82452
Snežinsk [Snezhinsk],Снежинский городской округ,City with Environs,50877,49186,50104
Sosnovskij Rajon [Sosnovsky Raion],Сосновский район,District,58570,60941,65867
Trëchgornyj [Tryokhgorny],г. Трёхгорный,City,34290,33670,32540
Troick [Troitsk],г. Троицк,City,83862,78372,76453
Troickij Rajon [Troitsky Raion],Троицкий район,District,33816,28059,26240
Ujskij Rajon [Uysky Raion],Уйский район,District,28555,26184,24093
Ust'-Katav [Ust-Katav],Усть-Катавский городской округ,City with Environs,30088,26917,25977
Uvel'skij Rajon [Uvelsky Raion],Увельский район,District,32188,31867,31179
Varnenskij Rajon [Varnensky Raion],Варненский район,District,30802,27357,25496
Verchneural'skij Rajon [Verkhneuralsky Raion],Верхнеуральский район,District,42121,36198,34901
Verchnij Ufalej [Verkhny Ufaley],Верхнеуфалейский городской округ,City with Environs,39725,35006,32746
Zlatoust,Златоустовский городской округ,City with Environs,196996,177155,172158
Kurgan,Курганская область,Province (Oblast),1019532,910807,869814
Al'menevskij Rajon [Almenevsky Raion],Альменевский район,District,15240,12412,10431
Belozerskij Rajon [Belozersky Raion],Белозерский район,District,21128,16934,15258
Častoozerskij Rajon [Chastoozersky Raion],Частоозерский район,District,7762,5924,5395
Celinnyj Rajon [Tselinny Raion],Целинный район,District,23058,17187,15443
Dalmatovskij Rajon [Dalmatovsky Raion],Далматовский район,District,35176,29476,26778
Jurgamyšskij Rajon [Yurgamyshsky Raion],Юргамышский район,District,24666,20886,19673
Kargapol'skij Rajon [Kargapolsky Raion],Каргапольский район,District,34854,31832,30453
Katajskij Rajon [Kataysky Raion],Катайский район,District,28099,23991,22104
Ketovskij Rajon [Ketovsky Raion],Кетовский район,District,56488,55427,60962
Kurgan,г. Курган,City,345515,333606,326292
Kurtamyšskij Rajon [Kurtamyshsky Raion],Куртамышский район,District,38176,32155,30090
Lebjažjevskij Rajon [Lebyazhyevsky Raion],Лебяжьевский район,District,21178,16557,14404
Makušinskij Rajon [Makushinsky Raion],Макушинский район,District,23978,18116,16110
Miškinskij Rajon [Mishkinsky Raion],Мишкинский район,District,22076,17684,16080
Mokrousovskij Rajon [Mokrousovsky Raion],Мокроусовский район,District,15379,13115,11961
Petuchovskij Rajon [Petukhovsky Raion],Петуховский район,District,24253,20493,18204
Polovinskij Rajon [Polovinsky Raion],Половинский район,District,16295,12255,10816
Pritobol'nyj Rajon [Pritobolny Raion],Притобольный район,District,17596,14592,13607
Šadrinsk [Shadrinsk],г. Шадринск,City,80865,77756,77031
Šadrinskij Rajon [Shadrinsky Raion],Шадринский район,District,33331,27360,26065
Safakulevskij Rajon [Safakulevsky Raion],Сафакулевский район,District,16957,13120,11253
Šatrovskij Rajon [Shatrovsky Raion],Шатровский район,District,23009,18446,16601
Ščučanskij Rajon [Shchuchansky Raion],Щучанский район,District,26392,23547,21354
Šumichinskij Rajon [Shumikhinsky Raion],Шумихинский район,District,33051,28499,26267
Vargašinskij Rajon [Vargashinsky Raion],Варгашинский район,District,23255,19919,18977
Zverinogolovskij Rajon [Zverinogolovsky Raion],Звериноголовский район,District,11755,9518,8205
Sverdlovsk,Свердловская область,Province (Oblast),4486214,4297747,4327472
Ačit [Achitsky Urban Okrug],Ачитский городской округ,Settlement with Environs,19132,16807,16256
Alapaevskij [Alapayevsky Urban Okrug],Муниципальное образование Алапаевское,Settlement with Environs,...,26542,25254
Alapajevsk [Alapayevsk],г. Алапаевск,City with Environs,50953,44455,43889
Aramil' [Aramil],Арамильский городской округ,City with Environs,...,17446,17981
Artëmovskij [Artyomovsky],Артёмовский городской округ,City with Environs,63208,60230,57062
Arti [Artinsky Urban Okrug],Артинский городской округ,Settlement with Environs,33648,29624,28139
Asbest,Асбестовский городской округ,City with Environs,...,71315,68451
Bajkalovskij Rajon [Baykalovsky Raion],Байкаловский район,District,19048,16294,15351
Belojarskij [Beloyarsky Urban Okrug],Белоярский городской округ,Settlement with Environs,39312,34583,34487
Berëzovskij [Beryozovsky],Березовский городской округ,City with Environs,63351,68772,73916
Bisert' [Bisert],Бисертский городской округ,Settlement with Environs,...,10661,10202
Bogdanovič [Bogdanovich Urban Okrug],Городской округ Богданович,City with Environs,54567,47027,46066
